github.name,github.score,github.size,github.forks,github.open_issues,github.watchers,github.stars
leetcoders/LeetCode,1,1735,222,2,481,481
xtaci/algorithms,1,2263,1122,38,3030,3030
xtaci/algorithms,1,2263,1122,38,3030,3030
electron/electron,1,59998,9659,1317,74043,74043
mapbox/mapnik-vector-tile,1,6018,92,13,493,493
wesnoth/wesnoth,1,2730644,531,941,2460,2460
AncientLysine/BiliLocal,1,5592,80,7,406,406
facebook/mysql-5.6,1,2177326,524,177,1594,1594
gflags/gflags,1,1556,497,22,1435,1435
gflags/gflags,1,1556,497,22,1435,1435
ppwwyyxx/OpenPano,1,8999,381,7,930,930
zerotier/ZeroTierOne,1,69418,389,122,3401,3401
atom/node-keytar,1,454,80,21,633,633
andrewprock/pokerstove,1,4899,284,16,474,474
PowerDNS/pdns,1,50369,512,678,1735,1735
StevenHickson/PiAUISuite,1,4454,220,72,676,676
kmackay/micro-ecc,1,646,204,42,621,621
MrKepzie/Natron,1,125177,171,8,1378,1378
p12tic/libsimdpp,1,4596,92,34,733,733
ivanseidel/ArduinoThread,1,68,145,10,593,593
JulyIghor/QtBitcoinTrader,1,6754,229,43,447,447
gobby/gobby,1,3413,41,57,439,439
ponchio/untrunc,1,164,115,105,492,492
mixxxdj/mixxx,1,310916,585,104,1324,1324
niwinz/phantompy,1,692,31,6,622,622
doxygen/doxygen,1,25650,696,2062,2493,2493
moderngpu/moderngpu,1,6890,219,14,985,985
qtproject/qt-solutions,1,1645,441,1,521,521
bingmann/sound-of-sorting,1,299,74,9,428,428
efficient/cuckoofilter,1,111,87,14,605,605
Nevcairiel/LAVFilters,1,25843,294,23,1839,1839
REhints/HexRaysCodeXplorer,1,7577,258,2,1233,1233
REhints/HexRaysCodeXplorer,1,7577,258,2,1233,1233
OtterBrowser/otter-browser,1,64968,175,183,1052,1052
aardappel/treesheets,1,3514,77,60,652,652
boostorg/beast,1,11418,345,145,2059,2059
LowPowerLab/RFM69,1,4607,307,13,530,530
yanyiwu/cppjieba,1,9546,481,36,1444,1444
yanyiwu/cppjieba,1,9546,481,36,1444,1444
USCiLab/cereal,1,13946,383,193,1948,1948
pmed/v8pp,1,728,59,10,493,493
ValveSoftware/source-sdk-2013,1,624641,1333,213,2310,2310
cvxgrp/cvxpy,1,133638,497,49,1861,1861
facebook/fbthrift,1,41324,414,26,1699,1699
node-webrtc/node-webrtc,1,7327,245,46,1278,1278
node-webrtc/node-webrtc,1,7327,245,46,1278,1278
vapoursynth/vapoursynth,1,5302,56,26,465,465
nlohmann/json,1,177905,2396,31,14148,14148
wheybags/freeablo,1,23807,178,56,1854,1854
cmderdev/cmder,1,2314,1318,24,18484,18484
cmderdev/cmder,1,2314,1318,24,18484,18484
nmslib/nmslib,1,98952,236,77,1471,1471
nghttp2/nghttp2,1,31415,549,381,2932,2932
leanprover/lean,1,52403,161,55,1161,1161
apache/mesos,1,393662,1600,10,4185,4185
rathena/rathena,1,163746,1013,335,1076,1076
zbackup/zbackup,1,578,71,53,728,728
dresden-elektronik/deconz-rest-plugin,1,7563,107,339,504,504
nodejs/nan,1,1996,390,44,2517,2517
nodejs/nan,1,1996,390,44,2517,2517
klee/klee,1,6374,359,99,1171,1171
klee/klee,1,6374,359,99,1171,1171
dolphin-emu/dolphin,1,380353,1255,139,5328,5328
breach/thrust,1,3461,130,51,2815,2815
breach/thrust,1,3461,130,51,2815,2815
cuberite/cuberite,1,83639,478,563,2660,2660
hyperion-project/hyperion,1,7007,226,60,1027,1027
hyperion-project/hyperion,1,7007,226,60,1027,1027
gigablast/open-source-search-engine,1,225027,329,62,1019,1019
uglide/RedisDesktopManager,1,75063,2031,37,12633,12633
netease-youdao/hex,1,110358,306,116,1458,1458
laurentkneip/opengv,1,7814,229,30,498,498
clMathLibraries/clBLAS,1,2915,212,86,686,686
clMathLibraries/clFFT,1,2912,165,26,451,451
rbock/sqlpp11,1,2962,201,42,1305,1305
rbock/sqlpp11,1,2962,201,42,1305,1305
simbody/simbody,1,221845,353,124,1355,1355
dbzhang800/QtXlsxWriter,1,3126,334,112,445,445
CopernicaMarketingSoftware/PHP-CPP,1,1977,259,85,1136,1136
CopernicaMarketingSoftware/PHP-CPP,1,1977,259,85,1136,1136
Icinga/icinga2,1,41325,422,215,1184,1184
forhappy/Cplusplus-Concurrency-In-Practice,1,1398,922,13,2325,2325
forhappy/Cplusplus-Concurrency-In-Practice,1,1398,922,13,2325,2325
PurpleI2P/i2pd,1,10718,221,128,1202,1202
jesyspa/linear-cpp,1,116,92,3,437,437
mikalhart/TinyGPSPlus,1,74,198,19,426,426
ReactiveX/RxCpp,1,62792,233,42,1731,1731
ideawu/icomet,1,3518,511,35,1430,1430
ideawu/icomet,1,3518,511,35,1430,1430
Kurento/kurento-media-server,1,4358,372,5,1224,1224
Kurento/kurento-media-server,1,4358,372,5,1224,1224
dropbox/json11,1,85,432,20,1811,1811
dropbox/json11,1,85,432,20,1811,1811
eliben/llvm-clang-samples,1,299,154,7,958,958
naelstrof/slop,1,938,30,24,472,472
opencv/opencv_contrib,1,129282,3430,297,4226,4226
BVLC/caffe,1,76158,17052,1015,28274,28274
ryanhaining/cppitertools,1,1575,73,9,733,733
Sigil-Ebook/Sigil,1,120255,407,8,2766,2766
recastnavigation/recastnavigation,1,20414,785,71,2650,2650
Polytonic/Chlorine,1,983,20,2,415,415
google/lmctfy,1,5234,229,10,3220,3220
google/lmctfy,1,5234,229,10,3220,3220
thestk/stk,1,6901,90,10,407,407
360Controller/360Controller,1,5387,314,81,5055,5055
360Controller/360Controller,1,5387,314,81,5056,5056
naelstrof/maim,1,505,55,28,1150,1150
naelstrof/maim,1,505,55,28,1150,1150
panda3d/panda3d,1,107593,438,128,1681,1681
urho3d/Urho3D,1,148483,741,224,2757,2757
thekvs/cpp-serializers,1,515,59,13,400,400
LongSoft/UEFITool,1,2792,260,16,1324,1324
LongSoft/UEFITool,1,2792,260,16,1324,1324
AndroidDeveloperLB/AndroidJniBitmapOperations,1,2017,138,4,484,484
wichtounet/thor-os,1,2677,112,4,928,928
thestk/rtaudio,1,2158,153,24,550,550
bbc/audiowaveform,1,3870,104,26,690,690
pavel-odintsov/fastnetmon,1,30373,417,105,2381,2381
milkytracker/MilkyTracker,1,9910,86,41,695,695
Oxford-PTAM/PTAM-GPL,1,1233,327,16,612,612
facebookarchive/webscalesql-5.6,1,300518,386,9,3018,3018
raboof/nethogs,1,1322,168,64,1332,1332
raboof/nethogs,1,1322,168,64,1332,1332
BartoszMilewski/Okasaki,1,832,62,2,402,402
cisco/openh264,1,126812,1222,96,3382,3382
SFTtech/openage,1,8341,848,203,8808,8808
SFTtech/openage,1,8341,848,203,8808,8808
electron/rcedit,1,130,91,19,678,678
greenheartgames/greenworks,1,955,82,23,908,908
docopt/docopt.cpp,1,97,88,54,670,670
aspnet/dnx,1,21498,246,0,1007,1007
AndreaOrru/LaiNES,1,835,82,23,1225,1225
AndreaOrru/LaiNES,1,835,82,23,1225,1225
openalpr/openalpr,1,5722,1898,405,8484,8484
openalpr/openalpr,1,5722,1898,405,8484,8484
mpromonet/v4l2rtspserver,1,611,209,16,634,634
FastLED/FastLED,1,12468,779,114,2994,2994
mamedev/mame,1,893789,912,247,3784,3784
ericniebler/range-v3,1,25159,225,145,2210,2210
protobuf-c/protobuf-c,1,1321,396,44,1219,1219
protobuf-c/protobuf-c,1,1321,396,44,1219,1219
erengy/taiga,1,9193,135,119,955,955
nem0/LumixEngine,1,736214,212,93,1766,1766
s3fs-fuse/s3fs-fuse,1,2888,534,126,3438,3438
s3fs-fuse/s3fs-fuse,1,2888,534,126,3438,3438
mfontanini/libtins,1,5639,264,63,1278,1278
mfontanini/libtins,1,5639,264,63,1278,1278
google/liquidfun,1,23797,505,52,3611,3611
libfann/fann,1,9708,302,25,1091,1091
libfann/fann,1,9708,302,25,1091,1091
OpenKinect/libfreenect2,1,3307,604,76,1393,1393
OpenKinect/libfreenect2,1,3307,604,76,1393,1393
gzc/CLRS,1,12261,2007,53,5645,5645
dmlc/mshadow,1,1512,429,57,985,985
asb2m10/dexed,1,54726,96,50,1049,1049
clementine-player/Clementine,1,172072,454,2023,2221,2221
dogecoin/dogecoin,1,134315,864,66,2064,2064
srsLTE/srsLTE,1,17915,372,5,1245,1245
google/benchmark,1,1661,646,94,3476,3476
google/benchmark,1,1661,646,94,3476,3476
floooh/oryol,1,659943,167,51,1646,1646
yanyiwu/simhash,1,4641,209,9,657,657
PCSX2/pcsx2,1,97273,574,466,3288,3288
DarthTon/Blackbone,1,7867,647,36,1768,1768
DarthTon/Blackbone,1,7867,647,36,1769,1769
DarthTon/Xenos,1,247,271,19,613,613
mkeeter/antimony,1,4382,109,56,1644,1644
mkeeter/antimony,1,4382,109,56,1644,1644
ethereum/aleth,1,56669,2170,300,3545,3545
wetube/bitcloud,1,1839,64,20,648,648
duilib/duilib,1,22963,1393,44,3012,3012
miguelfreitas/twister-core,1,20266,244,156,1335,1335
cinience/RedisStudio,1,10766,311,23,1105,1105
efficient/libcuckoo,1,4270,149,7,724,724
godotengine/godot,1,317702,4414,5288,22664,22664
chengr28/Pcap_DNSProxy,1,28124,445,12,2402,2402
ceres-solver/ceres-solver,1,21393,436,54,1124,1124
google/skia,1,998827,632,11,3113,3113
LMMS/lmms,1,82263,493,707,2824,2824
bblanchon/ArduinoJson,1,3631,702,23,3699,3699
bblanchon/ArduinoJson,1,3631,702,23,3699,3699
supertuxkart/stk-code,1,295249,445,396,1652,1652
draios/sysdig,1,14997,522,261,5657,5657
cginternals/cmake-init,1,1660,77,26,457,457
bwapi/bwapi,1,125944,219,121,1319,1319
eranif/codelite,1,465192,328,285,1213,1213
AudioKit/AudioKit,1,222319,1039,5,6677,6677
yanyiwu/nodejieba,1,4504,195,41,1583,1583
yanyiwu/nodejieba,1,4504,195,41,1583,1583
Pulse-Eight/libcec,1,5368,208,60,410,410
facebook/mcrouter,1,28749,435,71,2479,2479
facebook/conceal,1,43992,433,28,2879,2879
EddyVerbruggen/Toast-PhoneGap-Plugin,1,2029,235,30,487,487
maciejczyzewski/libchaos,1,3249,168,1,1621,1621
maciejczyzewski/libchaos,1,3249,168,1,1621,1621
RobotLocomotion/drake,1,425345,667,645,1234,1234
vgvassilev/cling,1,18243,91,54,1452,1452
mapbox/mapbox-gl-native,1,266868,1066,482,3391,3391
facebook/bistro,1,5486,93,7,708,708
gperftools/gperftools,1,3582,876,195,3968,3968
gperftools/gperftools,1,3582,876,195,3968,3968
akumuli/Akumuli,1,4863,51,33,606,606
asmjit/asmjit,1,6544,258,31,1835,1835
asmjit/asmjit,1,6544,258,31,1835,1835
davisking/dlib,1,22899,2191,51,7364,7364
blend2d/blend2d,1,1858,22,7,522,522
dmlc/xgboost,1,11274,6710,116,16218,16218
manisandro/gImageReader,1,6462,76,52,449,449
toggl/toggldesktop,1,262860,168,360,1153,1153
dmlc/cxxnet,1,5299,430,65,1044,1044
dmlc/cxxnet,1,5299,430,65,1044,1044
andrewssobral/bgslibrary,1,72203,590,51,1272,1272
cocos2d/cocos2d-js,1,930006,496,281,1626,1626
libigl/libigl,1,9754,578,310,1783,1783
libigl/libigl,1,9754,578,310,1783,1783
excamera/alfalfa,1,2317,66,4,903,903
BonzaiThePenguin/WikiSort,1,1877,82,6,1058,1058
BonzaiThePenguin/WikiSort,1,1877,82,6,1058,1058
Yelp/MOE,1,11920,137,175,1176,1176
jgh-/VideoCore-Inactive,1,13824,536,196,1468,1468
baldurk/renderdoc,1,91907,477,45,3447,3447
catchorg/Clara,1,520,61,55,589,589
google/snappy,1,2425,582,20,3463,3463
google/snappy,1,2425,582,20,3463,3463
Tencent/rapidjson,1,25571,2137,394,7789,7789
ValveSoftware/ToGL,1,541,169,6,1930,1930
ValveSoftware/ToGL,1,541,169,6,1930,1930
uzh-rpg/rpg_svo,1,2321,661,174,1237,1237
uzh-rpg/rpg_svo,1,2321,661,174,1237,1237
ValveSoftware/vogl,1,64415,130,96,1367,1367
ionic-team/ionic-plugin-keyboard,1,3312,282,154,622,622
nRF24/RF24,1,1475,614,47,1345,1345
nRF24/RF24,1,1475,614,47,1345,1345
RangeNetworks/openbts,1,5746,225,29,468,468
baidu/sofa-pbrpc,1,7231,623,48,1817,1817
baidu/sofa-pbrpc,1,7231,623,48,1817,1817
baidu/tera,1,16411,425,169,1687,1687
rurban/smhasher,1,1879,58,15,454,454
ipkn/crow,1,910,646,162,5129,5129
ipkn/crow,1,910,646,162,5129,5129
mmc-maodun/Data-Structure-And-Algorithm,1,256,210,2,399,399
mit-nlp/MITIE,1,10939,427,16,2229,2229
OpenRCT2/OpenRCT2,1,94256,773,1155,7025,7025
shadowsocks/shadowsocks-qt5,1,6624,2076,50,6650,6650
shadowsocks/shadowsocks-qt5,1,6624,2076,50,6650,6650
google/souper,1,1540,94,56,1043,1043
google/souper,1,1540,94,56,1043,1043
vcmi/vcmi,1,37190,205,20,1059,1059
scantailor/scantailor,1,9549,191,211,903,903
facebook/yoga,1,27699,912,207,11956,11956
marcoschwartz/aREST,1,367,247,101,962,962
Stellarium/stellarium,1,2794547,214,197,1250,1250
falvaro/seshat,1,1901,119,17,510,510
matt-42/vpp,1,603,83,4,568,568
monero-project/monero,1,153251,2008,318,3813,3813
nanocurrency/nano-node,1,19557,553,115,2575,2575
jlblancoc/nanoflann,1,2331,211,18,732,732
telegramdesktop/tdesktop,1,131890,2309,1014,9628,9628
sqlitebrowser/sqlitebrowser,1,18279,1308,356,11422,11422
felixendres/rgbdslam_v2,1,5624,313,58,545,545
matt-42/iod,1,365,54,6,706,706
fibjs/fibjs,1,97369,304,30,2627,2627
kriswiner/MPU9250,1,7288,338,303,586,586
kriswiner/MPU6050,1,73,131,26,423,423
emil-e/rapidcheck,1,1633,90,75,534,534
Mooophy/Cpp-Primer,1,1636,2167,136,4155,4155
Mooophy/Cpp-Primer,1,1636,2167,136,4155,4155
SqliteModernCpp/sqlite_modern_cpp,1,2762,89,16,440,440
MariaDB/server,1,710087,844,126,2766,2766
Valloric/ycmd,1,34046,642,26,1351,1351
ketoo/NoahGameFrame,1,226391,645,26,1979,1979
citra-emu/citra,1,53703,1070,440,4972,4972
zhedahht/ChineseCodingInterviewAppendix,1,57,404,1,680,680
libmx3/mx3,1,5180,157,16,1166,1166
libmx3/mx3,1,5180,157,16,1166,1166
google/flatbuffers,1,8370,1932,418,12230,12230
google/flatbuffers,1,8370,1932,418,12230,12230
clasp-developers/clasp,1,126431,105,106,1515,1515
runtimejs/runtime,1,114913,109,49,1886,1886
ethz-asl/kalibr,1,4219,516,139,1079,1079
ethz-asl/kalibr,1,4219,516,139,1079,1079
PatWie/CppNumericalSolvers,1,520,127,2,483,483
aoapc-book/aoapc-bac2nd,1,496,769,32,1420,1420
aoapc-book/aoapc-bac2nd,1,496,769,32,1421,1421
jscheiny/Streams,1,386,39,8,605,605
google/fruit,1,2799,156,22,1239,1239
google/fruit,1,2799,156,22,1239,1239
ufna/VaRest,1,599,191,35,491,491
qTox/qTox,1,37233,648,603,2491,2491
andrivet/ADVobfuscator,1,6630,95,5,448,448
4ian/GDevelop,1,348899,198,114,1350,1350
boostorg/hof,1,2318,69,53,437,437
pezy/CppPrimer,1,1342,1086,8,1631,1631
pezy/CppPrimer,1,1342,1086,8,1631,1631
eidheim/Simple-Web-Server,1,6728,589,55,1809,1809
eidheim/Simple-Web-Server,1,6728,589,55,1809,1809
open-source-parsers/jsoncpp,1,2348,1532,92,3748,3748
open-source-parsers/jsoncpp,1,2348,1532,92,3748,3748
BitMEX/api-connectors,1,6321,561,127,621,621
includeos/IncludeOS,1,51613,287,70,3601,3601
yangyangwithgnu/hardseed,1,36915,1940,34,8982,8982
microsoft/Win2D,1,45522,214,55,1180,1180
ocornut/imgui,1,41085,2324,393,15481,15481
e-maxx-eng/e-maxx-eng,1,1917,206,12,488,488
facebook/wdt,1,1776,357,75,2333,2333
facebook/wdt,1,1776,357,75,2333,2333
vgough/encfs,1,15591,197,55,1403,1403
albertlauncher/albert,1,25746,180,82,3746,3746
Squirrel/Squirrel.Windows,1,84361,684,310,4556,4556
facebook/osquery,1,18749,1728,555,14251,14251
opensource-apple/dyld,1,999,84,0,402,402
yedf/handy,1,331,886,4,2256,2256
yedf/handy,1,331,886,4,2256,2256
eidheim/Simple-WebSocket-Server,1,372,217,28,599,599
kerberos-io/machinery,1,1260,90,52,410,410
onqtam/doctest,1,5448,155,31,1738,1738
onqtam/doctest,1,5448,155,31,1738,1738
mandliya/algorithms_and_data_structures,1,627,575,29,2983,2983
mandliya/algorithms_and_data_structures,1,627,575,29,2984,2984
tesseract-ocr/tesseract,1,44091,5270,226,27513,27513
openconnect/openconnect-gui,1,3077,108,51,629,629
crawl/crawl,1,190330,436,53,1056,1056
scylladb/seastar,1,8536,913,261,4605,4605
scylladb/seastar,1,8536,913,261,4605,4605
google/re2,1,3168,545,0,3623,3623
google/re2,1,3168,545,0,3623,3623
aseprite/aseprite,1,32079,654,703,6318,6318
magwyz/pastec,1,200,162,9,573,573
microsoft/cpprestsdk,1,10372,1006,463,4054,4054
lvandeve/lodepng,1,589,209,42,935,935
fritzing/fritzing-app,1,141974,326,951,1390,1390
google/angle,1,143756,293,3,1322,1322
protocolbuffers/protobuf,1,56131,9430,688,34907,34907
google/leveldb,1,1330,4215,105,17741,17741
google/leveldb,1,1330,4215,105,17742,17742
vit-vit/CTPL,1,207,146,18,563,563
PaulStoffregen/Time,1,67,394,59,654,654
code-iai/iai_kinect2,1,527,367,112,565,565
dropbox/djinni,1,3862,379,73,2364,2364
dropbox/djinni,1,3862,379,73,2364,2364
vaibhavpandeyvpz/apkstudio,1,13130,243,3,1044,1044
ANYbotics/grid_map,1,5327,300,55,559,559
CppCon/CppCon2014,1,243607,372,1,2016,2016
tum-vision/lsd_slam,1,1602,1077,226,1781,1781
tum-vision/lsd_slam,1,1602,1077,226,1781,1781
zccrs/QQStars,1,4535,146,10,446,446
srendle/libfm,1,123,370,14,1093,1093
srendle/libfm,1,123,370,14,1093,1093
tunabrain/tungsten,1,20666,121,12,1186,1186
zouxiaohang/TinySTL,1,641,353,14,870,870
khizmax/libcds,1,27768,240,32,1331,1331
dirkvranckaert/AndroidDecompiler,1,9404,107,10,477,477
liuruoze/EasyPR,1,195032,2204,61,4987,4987
qdore/Mutate,1,9179,97,69,1300,1300
qdore/Mutate,1,9179,97,69,1300,1300
v8/v8,1,848902,2479,2,12664,12664
google/mathfu,1,2746,137,14,935,935
mysql/mysql-server,1,2436225,1520,2,3875,3875
mapbox/tippecanoe,1,30495,183,80,1221,1221
boyliang/AllHookInOne,1,2911,330,9,429,429
CGAL/cgal,1,589641,533,318,1375,1375
me115/design_patterns,1,5122,973,28,3415,3415
me115/design_patterns,1,5122,973,28,3415,3415
jarro2783/cxxopts,1,383,215,34,1293,1293
jarro2783/cxxopts,1,383,215,34,1293,1293
facebook/proxygen,1,7798,1191,35,6184,6184
facebook/proxygen,1,7798,1191,35,6184,6184
victorprad/InfiniTAM,1,3617,234,60,449,449
Makuna/NeoPixelBus,1,707,115,20,531,531
ycjuan/kaggle-2014-criteo,1,434,598,4,1069,1069
ycjuan/kaggle-2014-criteo,1,434,598,4,1069,1069
lava/matplotlib-cpp,1,563,230,58,1020,1020
lava/matplotlib-cpp,1,563,230,58,1020,1020
google/woff2,1,3521,108,39,566,566
meltwater/served,1,807,97,9,492,492
KjellKod/g3log,1,4505,189,5,483,483
symless/synergy-core,1,97632,1695,260,6763,6763
kostya/benchmarks,1,523,151,28,1258,1258
kostya/benchmarks,1,523,151,28,1258,1258
pezy/LeetCode,1,392,744,1,2194,2194
pezy/LeetCode,1,392,744,1,2194,2194
google/double-conversion,1,7105,140,11,592,592
xiaojiaqi/C1000kPracticeGuide,1,1511,209,0,679,679
haoel/leetcode,1,2459,3424,34,10832,10832
haoel/leetcode,1,2459,3425,34,10832,10832
twitter/BreakoutDetection,1,234,159,23,685,685
ccMSC/ckb,1,2299,172,251,1254,1254
ccMSC/ckb,1,2299,172,251,1254,1254
arrayfire/arrayfire,1,13896,383,221,2700,2700
yangyangwithgnu/autoshadower,1,4075,99,7,413,413
matt-42/silicon,1,583,126,15,1641,1641
matt-42/silicon,1,583,126,15,1641,1641
gabime/spdlog,1,39005,1297,38,5915,5915
Overv/vramfs,1,472,29,4,599,599
Qihoo360/pika,1,85533,555,71,2788,2788
AaronShea/BLUI,1,347,158,32,603,603
cameron314/concurrentqueue,1,2354,729,61,3571,3571
cameron314/concurrentqueue,1,2354,729,61,3571,3571
shadowsocks/libQtShadowsocks,1,4922,564,20,1176,1176
shadowsocks/libQtShadowsocks,1,4922,564,20,1176,1176
alibaba/oceanbase,1,83018,696,14,1767,1767
baidu/bfs,1,11938,497,113,2495,2495
papyros/papyros-shell,1,8398,44,78,986,986
zcash/zcash,1,67173,1513,958,4040,4040
jmoon018/PacVim,1,3272,120,15,1645,1645
jmoon018/PacVim,1,3272,120,15,1645,1645
patriciogonzalezvivo/glslViewer,1,41186,105,10,1278,1278
illuz/leetcode,1,717,284,0,699,699
sysown/proxysql,1,76298,490,458,2961,2961
gioblu/PJON,1,5147,151,40,1253,1253
gioblu/PJON,1,5147,151,40,1253,1253
SergiusTheBest/plog,1,349,166,29,693,693
pbek/QOwnNotes,1,230170,144,73,1106,1106
google/libphonenumber,1,110538,1173,79,9149,9149
mpromonet/webrtc-streamer,1,3842,171,25,527,527
Mapaler/FastCopy-M,1,3998,77,2,401,401
grpc/grpc,1,223981,4982,1315,21518,21518
kmkolasinski/AwesomeBump,1,72425,133,27,1014,1014
Xtra-Computing/thundersvm,1,2666,141,26,962,962
facebook/wangle,1,2330,406,42,2264,2264
facebook/wangle,1,2330,406,42,2264,2264
microsoft/bond,1,15087,268,139,1972,1972
charto/nbind,1,1101,87,57,1532,1532
charto/nbind,1,1101,87,57,1532,1532
henrypp/memreduct,1,1043,105,12,474,474
mlpack/mlpack,1,247099,1023,128,2835,2835
savoirfairelinux/opendht,1,4337,97,48,503,503
cmu-db/peloton,1,69976,563,190,1634,1634
zhihu/kids,1,1311,214,4,1219,1219
zhihu/kids,1,1311,214,4,1219,1219
lilydjwg/swapview,1,432,101,9,403,403
scylladb/scylla,1,48115,603,1071,5126,5126
2shou/TextGrocery,1,456,198,14,629,629
badaix/snapcast,1,20098,170,183,1333,1333
leggedrobotics/ros_best_practices,1,127,159,4,439,439
mtytel/helm,1,40872,89,65,1143,1143
lukasmartinelli/py14,1,144,37,2,511,511
nitroshare/nitroshare-desktop,1,2775,99,94,653,653
devsisters/libquic,1,18120,197,14,1168,1168
ssloy/tinyrenderer,1,66684,544,5,6857,6857
